Row Labels,Average of Duration(sec) ,Average of End Speed (RPM),Year
12-C1_green      ,173,24.76,2022
12-C1_red        ,111.6,17.392,2022
12-C1_white      ,186.2,26.344,2022
12-C2_blue       ,98,15.76,2022
12-C2_green      ,105.6,16.672,2022
12-C2_red        ,174.4,24.928,2022
12-C2_white      ,147,21.64,2022
14-c1-green      ,139.9,20.788,2021
14-c1-red        ,134.9,20.188,2021
14-c1-white      ,179,25.48,2021
17-c1_green      ,107.9,16.948,2021
17-c2-red        ,117.8,18.136,2021
17-c2-white      ,136,20.32,2021
21-c1-Green      ,136.1,20.332,2021
21-c1-Red        ,147.3,21.676,2021
21-c1-White      ,118.2,18.184,2021
21-c2-Green      ,191.4,26.968,2021
21-c2-Red        ,215,29.8,2021
24-c1-green      ,107,16.84,2021
24-c1-red        ,94.1,15.292,2021
24-c2-green      ,111.3,17.213,2021
24-c2-white      ,117.9,17.785,2021